Date,Actual
2007-10-31,7.765416666666667
2007-11-01,7.774375
2007-11-02,7.789583333333333
2007-11-03,7.797604166666666
2007-11-04,7.814479166666666
2007-11-05,7.828229166666667
2007-11-06,7.839270833333333
2007-11-07,7.858125
2007-11-08,7.870520833333334
2007-11-09,7.879895833333333
2007-11-10,7.892187499999999
2007-11-11,7.910520833333333
2007-11-12,7.920208333333334
2007-11-13,7.928645833333333
2007-11-14,7.9359375
2007-11-15,7.945
2007-11-16,7.9659375
2007-11-17,7.9809375
2007-11-18,7.999479166666667
2007-11-19,8.007291666666665
2007-11-20,8.0140625
2007-11-21,8.024166666666666
2007-11-22,8.0334375
2007-11-23,8.052291666666667
2007-11-24,8.0665625
2007-11-25,8.073854166666667
2007-11-26,8.078750000000001
2007-11-27,8.093020833333332
2007-11-28,8.108541666666666
2007-11-29,8.113124999999998
2007-11-30,8.127812500000001
2007-12-01,8.141041666666668
2007-12-02,8.148611111111112
2007-12-03,8.156180555555556
2007-12-04,8.16375
2007-12-05,8.174347826086956
2007-12-06,8.196041666666666
2007-12-07,8.205625
2007-12-08,8.218020833333334
2007-12-09,8.22875
2007-12-10,8.238229166666667
2007-12-11,8.250104166666667
2007-12-12,8.257916666666667
2007-12-13,8.268020833333333
2007-12-14,8.283125
2007-12-15,8.287604166666666
2007-12-16,8.273333333333333
2007-12-17,8.314895833333333
2007-12-18,8.329166666666667
2007-12-19,8.333541666666667
2007-12-20,8.345416666666667
2007-12-21,8.355729166666666
2007-12-22,8.36375
2007-12-23,8.368125
2007-12-24,8.382604166666667
2007-12-25,8.3940625
2007-12-26,8.325416666666667
2007-12-27,8.0575
2007-12-28,7.940625
2007-12-29,7.8803125
2007-12-30,7.840729166666667
2007-12-31,7.816770833333333
2008-01-01,7.769375
2008-01-02,7.722708333333333
2008-01-03,7.691145833333334
2008-01-04,7.663333333333334
2008-01-05,7.640625
2008-01-06,7.628541666666667
2008-01-07,7.622812499999999
2008-01-08,7.618125
2008-01-09,7.6134375
2008-01-10,7.614270833333333
2008-01-11,7.607916666666667
2008-01-12,7.625729166666667
2008-01-13,7.625104166666667
2008-01-14,7.632083333333333
2008-01-15,7.64375
2008-01-16,7.669166666666666
2008-01-17,7.659166666666667
2008-01-18,7.665624999999999
2008-01-19,7.651458333333333
2008-01-20,7.635416666666667
2008-01-21,7.620833333333334
2008-01-22,7.588854166666667
2008-01-23,7.572187500000001
2008-01-24,7.555729166666667
2008-01-25,7.539270833333333
2008-01-26,7.510520833333333
2008-01-27,7.488541666666666
2008-01-28,7.476770833333333
2008-01-29,7.462291666666666
2008-01-30,7.465625
2008-01-31,7.480625
2008-02-01,7.448958333333334
2008-02-02,7.463333333333334
2008-02-03,7.44625
2008-02-04,7.435208333333333
2008-02-05,7.419895833333332
2008-02-06,7.402708333333333
2008-02-07,7.3990625
2008-02-08,7.391145833333333
2008-02-09,7.383645833333333
2008-02-10,7.382083333333333
2008-02-11,7.402708333333334
2008-02-12,7.386041666666667
2008-02-13,7.3621875
2008-02-14,7.378645833333334
2008-02-15,7.345624999999999
2008-02-16,7.32
2008-02-17,7.287916666666667
2008-02-18,7.264479166666667
2008-02-19,7.255624999999999
2008-02-20,7.2446875
2008-02-21,7.236562500000001
2008-02-22,7.212395833333333
2008-02-23,7.205416666666667
2008-02-24,7.199895833333334
2008-02-25,7.184895833333333
2008-02-26,7.164791666666667
2008-02-27,7.1625000000000005
2008-02-28,7.173645833333333
2008-02-29,7.165208333333333
2008-03-01,7.1468750000000005
2008-03-02,7.156041666666667
2008-03-03,7.145520833333333
2008-03-04,7.136770833333333
2008-03-05,7.126041666666667
2008-03-06,7.117604166666666
2008-03-07,7.087395833333333
2008-03-08,7.073125
2008-03-09,7.066847826086956
2008-03-10,7.033437500000001
2008-03-11,7.001041666666667
2008-03-12,6.978958333333334
2008-03-13,6.966145833333333
2008-03-14,6.9521875
2008-03-15,6.949895833333334
2008-03-16,6.9609375
2008-03-17,6.981875
2008-03-18,6.9636458333333335
2008-03-19,6.9334375
2008-03-20,6.955208333333334
2008-03-21,6.981875
2008-03-22,6.9646875
2008-03-23,6.9878125
2008-03-24,6.993125
2008-03-25,7.007604166666667
2008-03-26,7.002187500000001
2008-03-27,7.0069791666666665
2008-03-28,7.013125
2008-03-29,7.059895833333333
2008-03-30,7.082604166666666
2008-03-31,7.080520833333334
2008-04-01,7.068854166666667
2008-04-02,7.1090625
2008-04-03,7.1278125
2008-04-04,7.1042708333333335
2008-04-05,7.103333333333333
2008-04-06,7.068645833333334
2008-04-07,7.003958333333333
2008-04-08,6.941145833333334
2008-04-09,6.9065625
2008-04-10,6.886458333333334
2008-04-11,6.867604166666666
2008-04-12,6.851979166666666
2008-04-13,6.853020833333333
2008-04-14,6.851041666666666
2008-04-15,6.850520833333333
2008-04-16,6.8525
2008-04-17,6.84375
2008-04-18,6.843958333333333
2008-04-19,6.8478125
2008-04-20,6.856145833333334
2008-04-21,6.868229166666667
2008-04-22,6.882916666666667
2008-04-23,6.8992708333333335
2008-04-24,6.913541666666667
2008-04-25,6.920104166666667
2008-04-26,6.927916666666666
2008-04-27,6.9461458333333335
2008-04-28,6.936770833333334
2008-04-29,6.953541666666666
2008-04-30,6.98125
2008-05-01,6.980625
2008-05-02,6.964895833333333
2008-05-03,6.953020833333333
2008-05-04,6.948229166666667
2008-05-05,6.952395833333334
2008-05-06,6.95
2008-05-07,6.9480208333333335
2008-05-08,6.946458333333333
2008-05-09,6.938541666666667
2008-05-10,6.9675
2008-05-11,6.952916666666667
