Date,Actual
2007-10-31,12.568333333333332
2007-11-01,12.513541666666669
2007-11-02,12.494270833333331
2007-11-03,12.414583333333333
2007-11-04,12.422083333333331
2007-11-05,12.424479166666666
2007-11-06,12.3546875
2007-11-07,12.359791666666666
2007-11-08,12.372708333333334
2007-11-09,12.346458333333333
2007-11-10,12.308333333333332
2007-11-11,12.314791666666666
2007-11-12,12.296666666666669
2007-11-13,12.275
2007-11-14,12.286354166666667
2007-11-15,12.323958333333332
2007-11-16,12.473645833333334
2007-11-17,12.576979166666668
2007-11-18,12.54375
2007-11-19,12.45125
2007-11-20,12.341458333333334
2007-11-21,12.295104166666668
2007-11-22,12.250520833333333
2007-11-23,12.290520833333334
2007-11-24,12.30375
2007-11-25,12.246875
2007-11-26,12.146458333333332
2007-11-27,12.093645833333332
2007-11-28,12.13375
2007-11-29,12.1471875
2007-11-30,12.168854166666668
2007-12-01,12.221458333333333
2007-12-02,12.198819444444444
2007-12-03,12.176180555555556
2007-12-04,12.153541666666667
2007-12-05,12.185
2007-12-06,12.261145833333332
2007-12-07,12.32
2007-12-08,12.32
2007-12-09,12.329791666666669
2007-12-10,12.33
2007-12-11,12.313333333333333
2007-12-12,12.241354166666667
2007-12-13,12.223333333333334
2007-12-14,12.249166666666667
2007-12-15,12.330729166666666
2007-12-16,12.162291666666668
2007-12-17,12.190833333333332
2007-12-18,12.226875
2007-12-19,12.214583333333332
2007-12-20,12.189270833333332
2007-12-21,12.207395833333337
2007-12-22,12.215000000000002
2007-12-23,12.209479166666668
2007-12-24,12.166458333333331
2007-12-25,12.152500000000002
2007-12-26,11.997291666666667
2007-12-27,11.873958333333334
2007-12-28,11.842708333333334
2007-12-29,11.730416666666668
2007-12-30,11.719375
2007-12-31,11.657708333333334
2008-01-01,11.659270833333332
2008-01-02,11.664270833333331
2008-01-03,11.7234375
2008-01-04,11.75
2008-01-05,11.751041666666666
2008-01-06,11.76
2008-01-07,11.753020833333332
2008-01-08,11.734479166666668
2008-01-09,11.6996875
2008-01-10,11.711770833333334
2008-01-11,11.708229166666667
2008-01-12,11.721666666666666
2008-01-13,11.7328125
2008-01-14,11.6703125
2008-01-15,11.678125
2008-01-16,11.688541666666666
2008-01-17,11.698020833333333
2008-01-18,11.600416666666666
2008-01-19,11.631666666666668
2008-01-20,11.62633814102564
2008-01-21,11.621009615384615
2008-01-22,11.61568108974359
2008-01-23,11.610352564102564
2008-01-24,11.60502403846154
2008-01-25,11.599695512820514
2008-01-26,11.594366987179487
2008-01-27,11.58903846153846
2008-01-28,11.583709935897437
2008-01-29,11.57838141025641
2008-01-30,11.573052884615384
2008-01-31,11.56772435897436
2008-02-01,11.562395833333332
2008-02-02,11.58125
2008-02-03,11.596666666666666
2008-02-04,11.538333333333334
2008-02-05,11.453645833333333
2008-02-06,11.405416666666667
2008-02-07,11.4165625
2008-02-08,11.419583333333334
2008-02-09,11.371666666666668
2008-02-10,11.302916666666668
2008-02-11,11.334583333333333
2008-02-12,11.300624999999998
2008-02-13,11.136145833333332
2008-02-14,11.118020833333333
2008-02-15,11.1703125
2008-02-16,11.204895833333332
2008-02-17,11.190729166666666
2008-02-18,11.08
2008-02-19,11.101458333333332
2008-02-20,11.121979166666668
2008-02-21,11.208125
2008-02-22,11.1396875
2008-02-23,11.121979166666668
2008-02-24,11.194375
2008-02-25,11.14125
2008-02-26,11.076979166666668
2008-02-27,11.042291666666666
2008-02-28,11.179166666666667
2008-02-29,11.260104166666666
2008-03-01,11.241875
2008-03-02,11.297291666666666
2008-03-03,11.280104166666666
2008-03-04,11.2278125
2008-03-05,11.088125
2008-03-06,11.149375
