Date,Actual
2007-10-31,10.422604166666666
2007-11-01,10.436631753663004
2007-11-02,10.45065934065934
2007-11-03,10.456630434782609
2007-11-04,10.477604166666667
2007-11-05,10.487083333333333
2007-11-06,10.486979166666666
2007-11-07,10.496489361702126
2007-11-08,10.503333333333332
2007-11-09,10.5046875
2007-11-10,10.504148936170212
2007-11-11,10.511354166666669
2007-11-12,10.505833333333332
2007-11-13,10.509375
2007-11-14,10.511382978723404
2007-11-15,10.498260869565218
2007-11-16,10.502255434782608
2007-11-17,10.50625
2007-11-18,10.515054945054946
2007-11-19,10.519791666666666
2007-11-20,10.520760869565216
2007-11-21,10.530507246376812
2007-11-22,10.540253623188406
2007-11-23,10.55
2007-11-24,10.551739130434784
2007-11-25,10.5515625
2007-11-26,10.545520833333333
2007-11-27,10.559895833333334
2007-11-28,10.5665625
2007-11-29,10.5625
2007-11-30,10.574673913043478
2007-12-01,10.582916666666668
2007-12-02,10.57315011820331
2007-12-03,10.563383569739957
2007-12-04,10.553617021276596
2007-12-05,10.564881427304964
2007-12-06,10.576145833333332
2007-12-07,10.569895833333334
2007-12-08,10.573229166666666
2007-12-09,10.575505617977528
2007-12-10,10.580068598462448
2007-12-11,10.584631578947368
2007-12-12,10.58891304347826
2007-12-13,10.5909375
2007-12-14,10.602842105263155
2007-12-15,10.59967032967033
2007-12-16,10.499565217391304
2007-12-17,10.497803442028983
2007-12-18,10.496041666666668
2007-12-19,10.483478260869566
2007-12-20,10.484375
2007-12-21,10.483229166666666
2007-12-22,10.470001680107526
2007-12-23,10.456774193548387
2007-12-24,10.453106197897789
2007-12-25,10.44943820224719
2007-12-26,10.404613061797752
2007-12-27,10.359787921348314
2007-12-28,10.314962780898876
2007-12-29,10.270137640449438
2007-12-30,10.2253125
2007-12-31,10.15597222222222
2008-01-01,10.086631944444443
2008-01-02,10.017291666666669
2008-01-03,9.968020833333334
2008-01-04,9.914375
2008-01-05,9.87378947368421
2008-01-06,9.8453125
2008-01-07,9.824352941176471
2008-01-08,9.80744820971867
2008-01-09,9.790543478260869
2008-01-10,9.779592391304348
2008-01-11,9.768641304347826
2008-01-12,9.757690217391303
2008-01-13,9.746739130434785
2008-01-14,9.747409420289856
2008-01-15,9.748079710144928
2008-01-16,9.74875
2008-01-17,9.724947916666666
2008-01-18,9.701145833333332
2008-01-19,9.69453125
2008-01-20,9.687916666666666
2008-01-21,9.682173913043478
2008-01-22,9.651770833333334
2008-01-23,9.649375
2008-01-24,9.6440625
2008-01-25,9.649255319148937
2008-01-26,9.631770833333334
2008-01-27,9.626847826086957
2008-01-28,9.623804347826086
2008-01-29,9.620860507246377
2008-01-30,9.617916666666668
2008-01-31,9.623478260869565
2008-02-01,9.602123745819398
2008-02-02,9.580769230769231
2008-02-03,9.56611111111111
2008-02-04,9.552266081871345
2008-02-05,9.53842105263158
2008-02-06,9.53679673321234
2008-02-07,9.535172413793102
2008-02-08,9.524588235294116
2008-02-09,9.51017769607843
2008-02-10,9.495767156862744
2008-02-11,9.48135661764706
2008-02-12,9.466946078431372
2008-02-13,9.452535539215685
2008-02-14,9.438125
2008-02-15,9.402815934065934
2008-02-16,9.367506868131867
2008-02-17,9.332197802197802
2008-02-18,9.299375
2008-02-19,9.29404255319149
2008-02-20,9.277666666666663
2008-02-21,9.271666666666668
2008-02-22,9.233020833333333
2008-02-23,9.233125
2008-02-24,9.227708333333334
2008-02-25,9.21326315789474
2008-02-26,9.193157894736842
2008-02-27,9.2090625
2008-02-28,9.228854166666666
2008-02-29,9.227083333333336
2008-03-01,9.228272946859905
2008-03-02,9.229462560386471
2008-03-03,9.230652173913043
2008-03-04,9.216680253623188
2008-03-05,9.202708333333334
2008-03-06,9.202065217391304
2008-03-07,9.159772727272726
2008-03-08,9.132652711323765
2008-03-09,9.1055326953748
2008-03-10,9.078412679425837
2008-03-11,9.051292663476874
2008-03-12,9.02417264752791
2008-03-13,8.997052631578947
2008-03-14,8.976413043478262
2008-03-15,8.980416666666667
2008-03-16,8.984791666666668
2008-03-17,8.987118055555555
2008-03-18,8.989444444444445
2008-03-19,8.965625000000001
2008-03-20,8.989418604651163
2008-03-21,9.01757894736842
2008-03-22,9.01125
2008-03-23,9.030283882783884
2008-03-24,9.049317765567766
2008-03-25,9.06835164835165
2008-03-26,9.074347826086957
2008-03-27,9.088
2008-03-28,9.103020833333334
2008-03-29,9.151157894736842
2008-03-30,9.17375
2008-03-31,9.173186813186812
2008-04-01,9.174021739130437
2008-04-02,9.217340425531916
2008-04-03,9.230208333333334
2008-04-04,9.193764705882352
2008-04-05,9.213369565217391
2008-04-06,9.208695652173914
2008-04-07,9.205454545454543
2008-04-08,9.194966856060606
2008-04-09,9.184479166666666
2008-04-10,9.171614583333334
2008-04-11,9.15875
2008-04-12,9.140652173913043
2008-04-13,9.16125
2008-04-14,9.176888888888888
2008-04-15,9.188588235294118
2008-04-16,9.19891304347826
2008-04-17,9.20302536231884
2008-04-18,9.207137681159422
2008-04-19,9.21125
2008-04-20,9.222934782608696
2008-04-21,9.22967391304348
2008-04-22,9.2365625
2008-04-23,9.24578125
2008-04-24,9.255
2008-04-25,9.260520833333333
2008-04-26,9.269583333333332
2008-04-27,9.281145833333332
2008-04-28,9.259891304347828
2008-04-29,9.263695652173912
2008-04-30,9.2675
2008-05-01,9.268333333333333
2008-05-02,9.26846153846154
2008-05-03,9.275104166666669
2008-05-04,9.286875
2008-05-05,9.2959375
2008-05-06,9.300208333333334
2008-05-07,9.304322916666669
2008-05-08,9.3084375
2008-05-09,9.247291666666667
